t_event,osc_idx,bub_id,event_type,radius,cutoff_tau,weight,peak_accel
2.67944,640,16372,N,0.005197,0.000866166667,-14187.7265,0.00196458755
2.67972,641,16376,N,0.00565935,0.000943225,-11963.9711,0.00201513169
2.69222,642,16523,S,0.0043602,0.0007267,-20157.116,0.00196672582
2.69222,643,16526,N,0.00341392,0.000568986667,-32883.2009,0.00194991164
2.69972,644,16624,S,0.00365009,0.000608348333,-28764.8312,0.00195177391
2.69972,645,16628,N,0.00404765,0.000674608333,-23390.8676,0.00195231951
2.70278,646,16671,N,0.0043602,0.0007267,-20157.116,0.00195152668
2.7075,647,16733,S,0.005816,0,0,1.2291185e-06
2.72194,647,16989,S,0.0055178,0.000919633333,-12585.7578,0.0019654415
2.73333,647,17157,S,0.00518335,0,0,0.00138644911
2.75,647,17510,M,0.00616495,0.00102749167,20517.4376,0.00471526691
2.76167,647,17725,M,0.00675595,0,0,0.00277450416
2.8,647,18196,S,0.005469,0.0009115,-12811.3956,0.00186453452
2.81167,647,18375,S,0.00518335,0.000863891667,-14262.5601,0.00223754825
2.83139,647,18620,S,0.0055057,0,0,0.000975029689
2.84278,647,18755,M,0.00663265,0.00110544167,17725.6007,0.00466304422
2.8575,647,18916,M,0.00649585,0,0,0.00273109735
3.05194,647,21448,M,0.0062978,0,0,4.51248927e-06
3.12278,647,22326,M,0.006582,0,0,3.64230584e-07
3.13833,647,22477,M,0.006666,0,0,6.95406766e-07
3.14611,647,22562,S,0.0055178,0.000919633333,-12585.7578,0.00198221963
3.16194,647,22696,M,0.0050424,0,0,0.00114103968
3.30028,647,23913,M,0.0058051,0.000967516667,23140.3053,0.00411331017
3.31944,647,24039,M,0.00572755,0,0,0.00188204077
3.33278,647,24149,M,0.00573875,0,0,0.00106421063
3.36083,647,24445,M,0.00599555,0,0,0.000322462383
3.36639,647,24502,M,0.00576105,0,0,0.000246334833
3.375,647,24577,S,0.0050424,0.0008404,-15071.1823,0.00183103547
3.38528,647,24675,S,0.00487771,0.000812951667,-16106.2385,0.00297897253
2.71,648,16781,N,0.00411402,0.00068567,-22642.1132,0.00196190371
2.7125,649,16824,S,0.00439861,0.000733101667,-19806.5601,0.00195470443
2.7175,650,16922,N,0.0050279,0.000837983333,-15158.2479,0.00196217094
2.71806,651,16925,S,0.00514185,0,0,0
2.71806,652,16929,N,0.00417831,0.000696385,-21950.5856,0.00200855878
2.71944,653,16951,N,0.00424068,0.00070678,-21309.5478,0.0019507932
2.74611,653,17432,M,0.00445501,0.000742501667,39293.7618,0.0036708069
2.71972,654,16958,M,0.00707925,0.001179875,15559.4666,0.00414812244
2.73556,654,17205,M,0.00713035,0,0,0.00232342906
2.74694,654,17455,M,0.005975,0,0,0.00187320547
2.79167,654,18087,S,0.00501325,0,0,0.000368516155
2.80389,654,18264,M,0.00633475,0.00105579167,19432.1374,0.00392689295
2.81389,654,18408,S,0.00545665,0,0,0.0032337992
2.83556,654,18677,M,0.00514185,0,0,0.00128552017
2.86944,654,19015,M,0.00492373,0,0,0.000296400094
2.94917,654,19860,S,0.00441757,0.000736261667,-19636.8799,0.00194988217
2.99861,654,20568,M,0.0055419,0.00092365,25390.7901,0.00400457034
2.72083,655,16974,N,0.00484654,0.000807756667,-16314.1066,0.00196356357
2.72083,656,16975,N,0.00498378,0.00083063,-15427.8582,0.00195558614
2.72194,657,16988,S,0.00407001,0.000678335,-23134.5171,0.00197132615
2.72306,658,17011,N,0.00341392,0.000568986667,-32883.2009,0.00194861322
2.72444,659,17034,N,0.00417831,0.000696385,-21950.5856,0.00195654358
2.72639,660,17065,N,0.00341392,0.000568986667,-32883.2009,0.00194462066
2.72833,661,17087,N,0.00367754,0.000612923333,-28336.9362,0.00195186337
2.73083,662,17127,S,0.00367754,0.000612923333,-28336.9362,0.00195005682
2.73333,663,17156,S,0.0049689,0,0,0
2.73444,664,17179,S,0.00424068,0.00070678,-21309.5478,0.00195112548
2.73556,665,17204,M,0.0161073,0,0,0
2.74278,666,17340,S,0.00378342,0,0,0
2.74333,667,17356,S,0.00359392,0.000598986667,-29671.1807,0.00195562908
2.74389,668,17369,S,0.00479902,0,0,3.38785942e-07
3.12472,668,22340,S,0.00397903,0.000663171667,-24204.742,0.00195775269
2.74417,669,17379,N,0.00341392,0.000568986667,-32883.2009,0.0019541035
2.74444,670,17388,N,0.00341392,0.000568986667,-32883.2009,0.00195241247
2.74639,671,17434,N,0.00402503,0.000670838333,-23654.559,0.001961833
2.74694,672,17451,S,0.00341392,0.000568986667,-32883.2009,0.00195352573
2.74694,673,17452,S,0.00441757,0.000736261667,-19636.8799,0.00195403978
2.74861,674,17480,S,0.00424068,0.00070678,-21309.5478,0.00196390842
2.81611,674,18430,S,0.00390797,0.000651328333,-25093.156,0.00198306089
2.74861,675,17483,N,0.00397903,0.000663171667,-24204.742,0.00194537844
2.75194,676,17550,N,0.00367754,0.000612923333,-28336.9362,0.00195449391
2.75389,677,17587,S,0.00341392,0.000568986667,-32883.2009,0.00194620493
2.755,678,17619,S,0.0092754,0.0015459,-4453.48817,0.00199606383
2.765,678,17776,S,0.009456,0,0,0.00163474931
2.78333,678,18027,S,0.00944775,0.001574625,-4292.47316,0.00134371937
2.80278,678,18246,S,0.00880675,0,0,0.000882017769
2.81722,678,18450,S,0.008759,0,0,0.000641250278
2.83278,678,18645,M,0.0092625,0.00154375,9088.49649,0.00391907729
2.84389,678,18770,M,0.008854,0,0,0.00314503514
2.85611,678,18891,S,0.0089928,0,0,0.0024028787
2.90083,678,19317,M,0.0113331,0.00188885,6070.69997,0.00345105597
2.91028,678,19429,M,0.0112522,0,0,0.00305067004
2.985,678,20367,S,0.00489314,0.000815523333,-16004.8052,0.00349529659
2.76278,679,17738,S,0.0057163,0.000952716667,-11726.7412,0.0020015513
2.77611,679,17964,M,0.00579415,0,0,0.00120136476
2.78389,679,18034,S,0.00486217,0.000810361667,-16209.3727,0.00278154115
2.76278,680,17739,S,0.0042201,0.00070335,-21517.929,0.00195429985
2.765,681,17777,S,0.00479902,0.000799836667,-16638.8402,0.00196642671
2.7675,682,17825,S,0.00432109,0.000720181667,-20523.7107,0.00196316853
2.7675,683,17827,S,0.00481497,0.000802495,-16528.7712,0.00197372186
2.785,683,18042,S,0.00490848,0,0,0.000865385313
2.76778,684,17832,S,0.00310175,0.000516958333,-39836.8988,0.00194282184
2.77083,685,17874,N,0.00441757,0.000736261667,-19636.8799,0.00196287175
2.77333,686,17920,S,0.0044735,0.000745583333,-19148.851,0.00196360876
2.77361,687,17928,N,0.00417831,0.000696385,-21950.5856,0.0019624392
2.77444,688,17942,N,0.00341392,0.000568986667,-32883.2009,0.00195326998
2.77472,689,17943,S,0.00367754,0.000612923333,-28336.9362,0.00194734009
2.77472,690,17946,N,0.00437949,0.000729915,-19979.9092,0.00195552893
3.65194,690,27333,M,0.00473416,0,0,2.92357895e-23
3.66472,690,27486,M,0.00478297,0,0,1.48954866e-23
3.67583,690,27599,M,0.00499856,0,0,7.91446144e-24
3.69111,690,27740,M,0.00507125,0,0,3.87608754e-24
3.84694,690,29619,M,0.00511385,0,0,4.51084642e-27
2.77556,691,17956,S,0.00454596,0.00075766,-18543.178,0.00195630657
2.78611,691,18054,S,0.00452806,0.000754676667,-18690.0981,0.00215173203
2.77722,692,17974,N,0.00341392,0.000568986667,-32883.2009,0.00195149871
2.7775,693,17977,S,0.00872525,0,0,0
2.83306,693,18647,M,0.0107212,0,0,0
2.7775,694,17979,S,0.0037575,0.00062625,-27143.5174,0.00194677893
2.7775,695,17980,S,0.00341392,0.000568986667,-32883.2009,0.00195148986
